Date,Week,Screen_time,Steps
25/07/2025,21/07/2025,12:44:00,"2,000"
26/07/2025,21/07/2025,10:15:00,"2,000"
27/07/2025,21/07/2025,9:31:00,0
28/07/2025,28/07/2025,5:57:00,"7,500"
29/07/2025,28/07/2025,5:51:00,0
30/07/2025,28/07/2025,3:51:00,0
31/07/2025,28/07/2025,7:22:00,0
01/08/2025,28/07/2025,5:31:00,"6,000"
02/08/2025,28/07/2025,7:13:00,0
03/08/2025,28/07/2025,7:28:00,"8,000"
04/08/2025,04/08/2025,9:56:00,"7,000"
05/08/2025,04/08/2025,7:31:00,"5,000"
06/08/2025,04/08/2025,5:14:00,"8,000"
07/08/2025,04/08/2025,8:45:00,500
08/08/2025,04/08/2025,9:27:00,0
09/08/2025,04/08/2025,12:33:00,0
10/08/2025,04/08/2025,3:49:00,"18,400"
11/08/2025,11/08/2025,6:59:00,0
12/08/2025,11/08/2025,3:50:00,"5,000"
13/08/2025,11/08/2025,2:38:00,"3,200"
14/08/2025,11/08/2025,2:59:00,0
15/08/2025,11/08/2025,12:32:00,0
16/08/2025,11/08/2025,6:30:00,0
17/08/2025,11/08/2025,9:24:00,"5,200"
18/08/2025,18/08/2025,8:34:00,"10,000"
19/08/2025,18/08/2025,2:09:00,7600
20/08/2025,18/08/2025,6:25:00,2000
21/08/2025,18/08/2025,6:23:00,4000
22/08/2025,18/08/2025,0:00:00,0
23/08/2025,18/08/2025,0:00:00,0
24/08/2025,18/08/2025,0:00:00,0
25/08/2025,25/08/2025,0:00:00,0
26/08/2025,25/08/2025,0:00:00,0
27/08/2025,25/08/2025,0:00:00,0
28/08/2025,25/08/2025,0:00:00,0
29/08/2025,25/08/2025,0:00:00,0
30/08/2025,25/08/2025,0:00:00,0
31/08/2025,25/08/2025,0:00:00,0
01/09/2025,01/09/2025,2:59:00,7500
02/09/2025,01/09/2025,10:59:00,0
03/09/2025,01/09/2025,3:41:00,12000
04/09/2025,01/09/2025,7:30:00,0
05/09/2025,01/09/2025,6:15:00,7000
06/09/2025,01/09/2025,4:29:00,8400
07/09/2025,01/09/2025,8:35:00,8000
08/09/2025,08/09/2025,7:11:00,8000
09/09/2025,08/09/2025,7:47:00,0
10/09/2025,08/09/2025,8:51:00,8000
11/09/2025,08/09/2025,8:17:00,6800
12/09/2025,08/09/2025,7:59:00,3446
13/09/2025,08/09/2025,6:29:00,3384
14/09/2025,08/09/2025,12:21:00,1907
15/09/2025,15/09/2025,7:35:00,3306
16/09/2025,15/09/2025,10:28:00,2467
17/09/2025,15/09/2025,7:11:00,9412
18/09/2025,15/09/2025,9:42:00,1663
19/09/2025,15/09/2025,10:32:00,0
20/09/2025,15/09/2025,9:13:00,6000
21/09/2025,15/09/2025,12:14:00,3000
22/09/2025,22/09/2025,10:56:00,292
23/09/2025,22/09/2025,13:12:00,9338
24/09/2025,22/09/2025,17:30:00,0
25/09/2025,22/09/2025,,3255
26/09/2025,22/09/2025,,0
27/09/2025,22/09/2025,,0
28/09/2025,22/09/2025,9:30:00,4896
29/09/2025,29/09/2025,12:05:00,0
30/09/2025,29/09/2025,3:29:00,0
01/10/2025,29/09/2025,6:30:00,0
02/10/2025,29/09/2025,8:32:00,0
03/10/2025,29/09/2025,3:26:00,0
04/10/2025,29/09/2025,9:10:00,0
05/10/2025,29/09/2025,5:13:00,0
06/10/2025,06/10/2025,1:56:00,0
07/10/2025,06/10/2025,1:16:00,1211
08/10/2025,06/10/2025,4:12:00,1382
09/10/2025,06/10/2025,2:34:00,1487
10/10/2025,06/10/2025,1:41:00,3973
11/10/2025,06/10/2025,5:48:00,3666
12/10/2025,06/10/2025,7:27:00,7719
13/10/2025,13/10/2025,8:32:00,13
14/10/2025,13/10/2025,11:05:00,0
15/10/2025,13/10/2025,7:58:00,10968
16/10/2025,13/10/2025,9:50:00,0
17/10/2025,13/10/2025,4:32:00,3467
18/10/2025,13/10/2025,12:21:00,9277
19/10/2025,13/10/2025,12:30:00,0
20/10/2025,20/10/2025,2:20:00,7312
21/10/2025,20/10/2025,9:13:00,12
22/10/2025,20/10/2025,8:40:00,2702
23/10/2025,20/10/2025,7:16:00,18
24/10/2025,20/10/2025,7:48:00,2600
25/10/2025,20/10/2025,15:10:00,0
26/10/2025,20/10/2025,6:57:00,5079
27/10/2025,27/10/2025,9:36:00,1427
28/10/2025,27/10/2025,6:19:00,5947
29/10/2025,27/10/2025,14:11:00,0
30/10/2025,27/10/2025,8:29:00,5549
31/10/2025,27/10/2025,8:34:00,4298
01/11/2025,27/10/2025,9:06:00,4010
02/11/2025,27/10/2025,12:53:00,1729
03/11/2025,03/11/2025,10:14:00,15
04/11/2025,03/11/2025,2:54:00,2891
05/11/2025,03/11/2025,7:53:00,0
06/11/2025,03/11/2025,14:37:00,0
07/11/2025,03/11/2025,13:38:00,0
08/11/2025,03/11/2025,11:34:00,5963
09/11/2025,03/11/2025,8:14:00,8109
10/11/2025,10/11/2025,14:20:00,4520
11/11/2025,10/11/2025,14:28:00,3035
12/11/2025,10/11/2025,15:39:00,1313
13/11/2025,10/11/2025,11:55:00,5581
14/11/2025,10/11/2025,13:25:00,4824
15/11/2025,10/11/2025,16:41:00,1209
16/11/2025,10/11/2025,9:47:00,2588
17/11/2025,17/11/2025,9:09:00,3606
18/11/2025,17/11/2025,10:52:00,5412
19/11/2025,17/11/2025,11:55:00,8697
20/11/2025,17/11/2025,9:07:00,2993
21/11/2025,17/11/2025,7:06:00,9
22/11/2025,17/11/2025,11:19:00,6399
23/11/2025,17/11/2025,10:55:00,8901
24/11/2025,24/11/2025,10:15:00,0
25/11/2025,24/11/2025,10:15:00,2329
26/11/2025,24/11/2025,17:36:00,0
27/11/2025,24/11/2025,10:56:00,1847
28/11/2025,24/11/2025,10:10:00,6684
29/11/2025,24/11/2025,8:54:00,0
30/11/2025,24/11/2025,11:28:00,1768
01/12/2025,01/12/2025,7:35:00,933
02/12/2025,01/12/2025,9:46:00,1896
03/12/2025,01/12/2025,12:32:00,2380
04/12/2025,01/12/2025,14:39:00,643
05/12/2025,01/12/2025,4:02:00,8407
06/12/2025,01/12/2025,,0
07/12/2025,01/12/2025,,7567
08/12/2025,08/12/2025,,3308
09/12/2025,08/12/2025,,4749
10/12/2025,08/12/2025,,4447
11/12/2025,08/12/2025,,0
12/12/2025,08/12/2025,,0
13/12/2025,08/12/2025,,0
14/12/2025,08/12/2025,2:29:00,0
15/12/2025,15/12/2025,2:36:00,0
16/12/2025,15/12/2025,5:03:00,0
17/12/2025,15/12/2025,4:43:00,3229
18/12/2025,15/12/2025,16:19:00,0
19/12/2025,15/12/2025,10:53:00,493
20/12/2025,15/12/2025,11:48:00,1994
21/12/2025,15/12/2025,10:19:00,1092
22/12/2025,22/12/2025,2:39:00,7450
23/12/2025,22/12/2025,2:33:00,7678
24/12/2025,22/12/2025,3:39:00,8016
25/12/2025,22/12/2025,2:36:00,5665
26/12/2025,22/12/2025,3:06:00,4738
27/12/2025,22/12/2025,7:17:00,0
28/12/2025,22/12/2025,7:47:00,6662
29/12/2025,29/12/2025,12:47:00,3269
30/12/2025,29/12/2025,8:15:00,5632
31/12/2025,29/12/2025,6:52:00,5012
01/01/2026,29/12/2025,11:15:00,3517
02/01/2026,29/12/2025,15:45:00,0
03/01/2026,29/12/2025,8:52:00,2985
04/01/2026,29/12/2025,13:26:00,5770
05/01/2026,05/01/2026,9:58:00,10336
06/01/2026,05/01/2026,12:43:00,10380
07/01/2026,05/01/2026,11:03:00,7009
08/01/2026,05/01/2026,15:49:00,12807
09/01/2026,05/01/2026,8:13:00,3238
10/01/2026,05/01/2026,3:48:00,5646
11/01/2026,05/01/2026,1:21:00,8591
12/01/2026,12/01/2026,1:35:00,2855
13/01/2026,12/01/2026,3:52:00,3028
14/01/2026,12/01/2026,4:59:00,1677
15/01/2026,12/01/2026,4:00:00,9683
16/01/2026,12/01/2026,4:17:00,1699
17/01/2026,12/01/2026,3:46:00,7147
18/01/2026,12/01/2026,6:50:00,2000
19/01/2026,19/01/2026,6:34:00,4217
20/01/2026,19/01/2026,4:56:00,7078
21/01/2026,19/01/2026,8:58:00,
22/01/2026,19/01/2026,,
23/01/2026,19/01/2026,,


